Gene	N1	N2	N3	N4	N5	N6	T1	T2	T3	T4	T5	T6
1000_at	7.6958965390874	7.67322575941023	7.57928020970875	7.55643044199955	7.39070850923899	7.54950447672771	7.19702503096265	7.32405606584614	7.3983892210071	7.09958379446149	7.3199249493068	7.41503727844327
1001_at	4.01669220974216	4.41983294807402	4.39841499086202	4.57293967355345	4.65256744470227	4.34232701497716	4.02103063799266	4.1701575572379	4.25691538351348	4.00849155448398	4.05606066086869	4.17356594398313
1002_f_at	3.58694525318852	4.02682889000818	4.12168786988676	4.26293260538971	4.27415842871974	4.2106035740171	3.70593657283552	3.84665580985139	3.82786820072935	3.68825584097458	3.964035490168	4.01651426107061
1003_s_at	5.81667119972672	7.15625995877456	6.9918375706324	7.05545052541982	6.93521756227666	7.15900052433246	6.17103285083883	6.86998555317255	6.9139390745099	6.50774999542971	6.71478521590899	6.84661498987898
1004_at	5.46669953337435	6.19726991822963	5.98609260132792	6.074112512428	5.97053499447382	6.14707478417878	5.65083281424443	5.69593868961041	5.94575881505693	5.50745745259804	5.79549924912847	5.98595966301498
1005_at	7.22485864709284	5.39884397278847	5.48856815700365	5.5027778816382	5.54166102026108	5.5168623375842	8.65290296181993	5.23065290399544	5.58597718207305	6.20020671053187	5.35052990311618	6.07736955650602
1006_at	3.41197234617675	3.75867083738116	3.86193190898652	3.83407209631349	3.67191698397582	3.83933858880895	3.80786698713151	3.70118963729348	3.78214038019022	3.24732357736740	3.62107540574733	3.62324417603053
1007_s_at	7.45605680465047	7.3621013125662	7.28903598291281	7.4618071487507	7.14229059480909	7.30083198558592	7.61396842910398	7.1602369336673	7.36376626325989	7.22643156052211	7.18047145982488	7.56946884637562
1008_f_at	7.42597529696442	12.4060665032704	12.3396449368684	12.0584738768409	12.3608895658400	12.7470360588697	10.1004346305622	12.0766890913537	12.3721843798287	11.4071748522494	11.9930475057885	12.0809105008456
1009_at	8.65106356365044	6.76968810441838	7.13645323491518	6.84232677025476	7.24209054407478	6.52228432920252	9.11010910554208	8.38936104564909	7.74329253121122	8.82585997281137	8.7762835665818	7.76226816082729
100_g_at	6.93029493272716	7.26191131000609	7.37530285320292	7.19638004115831	7.23670046329598	7.13650071310789	7.07764960135718	7.10447133034513	7.06160973058507	6.76301182831895	7.11442549407277	7.2105834177989
1010_at	5.08110145665786	5.72922513961923	5.74805761905828	5.60187815373703	5.53508620992462	5.86789819527123	5.14060952279518	5.51906054962391	5.4895079115157	5.13235922158814	5.28636882007679	5.70900689320928
1011_s_at	3.77595615669759	3.31990262016504	3.66672969953041	3.53128977265825	3.68833062362997	3.6375921727452	4.42775096759892	3.49747859686728	3.31833664672626	3.90546463056224	4.11535185418648	4.51061560390983
1012_at	3.11371625104351	3.32219911295189	3.12075200227273	3.67549668206084	3.48778033485055	3.49874253889549	2.97215161382210	3.04969868677577	3.25919330314495	2.71490155606839	3.38925190877549	3.45698882128758
1013_at	3.07057045255414	3.29589679016978	2.87045730763823	3.41567422121259	2.98442914649172	3.4015606011992	2.84575836995422	2.99269328996325	2.89379226543801	2.89579320360008	3.00863957639715	2.92175784945892
1014_at	5.38278812910369	5.48457509866249	5.51542573019988	5.35680822572355	5.31256295299162	5.60404984242256	5.6557003872301	5.60216757938149	5.68879028781710	5.5165136545727	5.48588597703471	5.47295191648376
1015_s_at	4.37884663366673	5.09623974189781	5.01838544030228	5.16419504263824	5.15002462381714	5.33347016475683	4.64536206404579	5.04126203000911	5.15087183717657	4.7879549376836	4.9866683617801	5.01220419671962
1016_s_at	3.54783401650003	4.39544618119797	4.50990713300686	4.43301890304117	4.39961340301422	4.52565129387633	3.86616093614722	4.33625022411007	4.00247487971914	3.86946104914571	4.33468805270793	4.21962381647017
1017_at	3.70951011114240	3.80026850226538	3.48263980997161	3.63044891836726	3.60025367802839	3.59368353494393	3.55881389002141	3.7375887204095	3.94223871546092	3.41947413522751	3.49590576759782	3.35484907146924
1018_at	5.72555173638833	7.02885600783185	6.89267824188823	6.78148243497854	6.8212717453871	6.74471685464205	6.01645002965814	6.56875364462946	6.58725464320115	6.08414839475782	6.57212321799352	6.52434343380426
1019_g_at	5.87508598546169	7.51666951401844	7.24167608041432	7.39243760323265	7.32986521334477	7.39591612681491	6.37843770008976	7.30224126105497	7.2069359072952	6.67897381016892	7.2070471405042	6.88574969418548
101_at	6.31239501109484	6.484743016137	5.9600474680838	6.28323000710457	6.17377235042984	5.98239729521501	6.22415296466118	6.06678017525738	5.87563107958928	5.98498894880729	5.99216702197171	6.15362562611175
1020_s_at	7.75294146524562	6.70478029035819	6.475402748939	6.34638925385819	6.43452971625122	6.39068413515672	7.75828038157255	6.4922644382473	6.50104643041306	7.17943408867255	6.37962700244612	6.94197797082162
1021_at	3.81255768531271	4.55002578664642	4.29221247238485	4.47156929259061	4.23381536385798	4.55591170129913	3.81658710846352	4.24093487637779	4.01064562580443	3.68265357132033	4.24859519882484	4.15231067227913
1022_f_at	3.63591404811884	4.85354832464298	4.63688617186819	4.73956246607363	4.73728798863221	4.51096488027444	3.92598109924731	4.57108800800449	4.4731259065797	4.1392339884105	4.59715008671656	4.44729932536757
1023_at	6.02919154094812	6.75379378196625	6.61625847436618	6.6723330534213	6.73001852957645	6.79867369914097	6.15123278260339	6.5038755782915	6.51322800588647	6.07928861142242	6.52751630744271	6.62641471541411
1024_at	5.78094380955526	6.41274340408629	6.3809930314758	6.4307605138459	6.4282928984705	6.37142827068232	5.74855453501131	6.22031450960808	6.12836513926637	5.60949845043734	6.24124300086564	6.1008925633693
1025_g_at	3.75932351473413	4.61729554003737	4.42514096759359	4.71035198942958	4.32987972711542	4.43695821067068	3.92360473974337	4.36081988996341	4.2899066595274	3.87081059579612	4.36668179946353	4.39676211034668
1026_s_at	6.38936761829064	6.9932734988823	6.96649078291854	6.89176040096568	6.87570218720554	6.6792847522525	6.46184397449627	6.7190870811762	6.71838332560829	6.52194512769182	6.71135211883333	6.83195052270903
1027_at	4.74533288989701	5.76653241058491	5.54796038775396	5.7759182492767	5.68159311240287	5.49951212045357	5.09164228547114	5.5212616695406	5.44970824759477	4.89611291356454	5.34772922244127	5.58840092860825
1028_at	4.63928054029993	5.48667775538545	5.21056726000898	5.49609179645025	5.47374076385517	5.63220144527111	4.73845797738943	5.2823750362346	5.21142239597028	4.69415703279106	5.22554861895884	5.17000718099774
1029_s_at	3.33157380876298	4.03456617523242	4.0127510526694	4.22409454775803	3.90625756399642	4.13622370944959	3.53324250581368	3.98735187521236	3.91803784946762	3.60428212875479	3.77196072922436	3.76220822601729
102_at	2.91082000862402	3.50762814317773	3.17448456476047	3.41967306802621	3.24331092985705	3.3362389443088	2.81694945077508	3.15987029955602	3.01619871418762	2.79513866873202	3.41492619164751	3.13334559970394
1030_s_at	6.41350665933646	5.66994317442202	5.62622458110668	5.60288904057211	5.66914708183518	5.65166587775076	6.91865966423363	5.82810349819097	6.03468013279801	6.32684813954005	5.90081296379237	5.91498130753828
1031_at	3.09432578143577	3.1514522611168	2.96106761116305	3.47633902581862	3.31613582110566	3.18501823695076	3.05091146899121	3.26464385411332	2.92548091622329	3.02150137840628	3.17656406384741	3.41287077153649
1032_at	6.52227211472875	8.38899244489563	8.19175621267996	8.18960658019288	8.14452903618544	8.22987419105507	7.05155697617968	8.04866560936769	7.9434616228301	7.39729883141399	8.08927850289447	7.93389201578912
1033_g_at	5.00435577106238	5.9574941002747	5.94285047666622	5.92040332646863	5.92404978123073	6.22667976998178	5.35316183595751	6.00065871547638	5.95480492397581	5.31076049355098	5.88148814432614	5.87075706223347
1034_at	5.25674198795863	6.20072344804063	6.00499922138546	5.98973059846859	5.9124480997928	5.85708722464242	5.29641408945815	5.83704229097617	5.83034792774396	5.35090214138538	5.75763611778903	5.89556898267253
1035_g_at	5.6861914433639	6.66125458556445	6.47545198775896	6.58016152448166	6.58064933718896	6.67907090527891	5.69057858367734	6.40096438977612	6.23654196468626	5.92180092899457	6.3875833854185	6.4472983402336
1036_at	3.48110319545356	3.39611696904451	3.02481724428079	3.28277612296149	3.51372599634864	3.07486488385539	2.87095837660209	2.88875439639629	2.98174906776916	2.83712343339691	2.85153521161914	2.82834683844233
1037_at	3.10856336055715	4.93953222413314	4.81017910298121	4.84412142970179	5.23165531078084	4.77966366669213	3.68190009558807	4.6721368509102	4.5416230530261	3.97605692739957	4.68169054270807	4.59105115149796
1038_s_at	5.44980142084852	3.97373417556687	3.43217273871764	3.66696804026508	4.00924372533055	3.87238963014561	5.92312136161274	4.00640674325857	4.06711857318841	4.94549954150943	4.68536633977385	3.97295652933701
1039_s_at	3.83108135671823	3.14509142555133	3.08810962893858	3.08294156830491	3.07797592725218	3.11240739075209	3.84699992712971	3.17537758166956	3.47831371145632	3.67489676282431	3.42692796380203	3.28826990826000
103_at	5.13034357115803	5.9111010019185	5.67950267779232	5.81522530039807	5.69396801645703	5.50854385964502	5.68916629176333	5.66386955723657	5.54160090366591	8.28460575213204	5.6666109220491	5.94004292273679
1040_s_at	4.00237942499779	4.18894363845084	4.28387278617931	4.31199594961173	4.29344844195131	4.21748550927875	3.97688370541894	4.29833542265547	4.26058745240669	4.02414312253768	4.13540406611298	4.07587518216533
1041_at	4.61478336170376	6.08662945347534	6.04026016763174	5.93930083791369	5.90553871972058	6.1708629191727	4.9193432557869	5.99379356230305	5.7864461874149	5.10227034815823	5.92096541100046	5.70491629575136
1042_at	3.39530727060475	3.02023827256133	3.06340350564005	3.12945077087909	3.13181642729078	2.97357717147493	2.83432558186512	2.90371619853411	2.8458450409576	3.15829009200962	3.08826360901176	2.93368135265911
1043_s_at	3.08258460319259	3.56660087488989	3.38022264307825	3.3750056422996	3.42925172368119	3.32489408945096	3.03388554506173	3.37397654246922	3.29255763429136	2.95596694963879	3.16116499185381	3.31392158800772
1044_s_at	4.57718119058881	5.14282827362065	4.92602704661622	5.34733518687287	4.96945976053898	4.751932737606	5.17812915635564	4.79737908166066	4.78880354911887	4.96072847948855	5.08161749219884	4.91100727404291
1045_s_at	2.94415517345804	3.17963091644768	3.37521221793285	3.04582607644521	3.36138769098731	3.33744246921025	2.96740217125034	3.05533706113914	3.06828132065587	2.98404748995855	2.93248556980418	3.28039744851198
1046_at	3.79650879700529	4.01657676204577	4.04142236445323	4.07264181776528	4.04530416373721	4.0507778050519	3.44381209231465	3.83169690545327	3.74409492086727	3.78036784564754	3.70351805485008	3.90470422630051
1047_s_at	6.06914702883262	6.05372630283332	5.85394107188629	5.86738202566951	6.02440215893547	5.7787973889143	5.51431274823783	5.6803381697983	5.62319559984294	5.16370843047374	5.45390158576663	5.74672294453008
1048_at	3.98804515434893	4.57991876688242	4.09820310838613	4.51461405388616	3.95964147628517	4.45875559977205	3.71165420144244	3.99320516075441	3.99754993769867	3.45202512696350	4.01191834740937	4.53029748612308
1049_g_at	6.06231770822406	6.52068525608499	6.37746207686243	6.5296168947425	6.4165554043793	6.52225466852462	6.21259062057127	6.30239610562056	6.33307286535698	6.01217901817549	6.29217534203916	6.46963853612549
104_at	4.47883233787879	4.92995641493509	5.03300783858368	5.17316111547478	4.98913952477393	5.06965808664674	4.37380581277597	4.8630737868510	4.77403601322084	4.298764646303	4.56291600952094	4.94024045777819
1050_at	2.53992079722503	2.79101387514096	2.96620825036716	3.03145791701998	3.0032945953975	3.03463160391634	2.5122845750782	2.87929139899606	2.76491587847463	2.66103951198302	2.86770950669739	2.81319099901783
1051_g_at	3.83876354956605	5.29892733850812	5.14037752929186	5.21356533191174	5.17629880036957	5.39999241552285	4.38598369907021	5.0528062629313	4.9075449013935	4.46506208377579	4.96244750097809	4.81786487848587
1052_s_at	8.05364175750103	4.93752834448099	5.96142133681176	5.91459348830486	6.32519243912934	5.79950525131563	7.74969491995528	7.33024240011178	7.37350098427755	7.41239972017047	7.97640714383	6.63188828098815
1053_at	3.87589306665632	4.23670704515644	4.30951774320856	4.16775390680778	3.95696788616673	3.97434348342463	3.86044593002019	3.98432281014725	3.93159838504021	3.54233447692397	3.93778222273972	3.84655971816861
1054_at	3.27997773545172	3.28074807910264	3.59280819751783	3.34845563302228	3.46833059600824	3.38221838850675	2.98589527617306	3.18492501047276	3.12112268370073	3.02792206897536	3.1216874682263	3.10788386729552
1055_g_at	4.18383615503887	3.55559167329085	3.07909809907417	3.27243166529463	3.40988971667294	3.3694363312363	3.58089690129138	3.44632164326093	3.39229817250749	3.68528765800996	3.22869114216269	3.29198328883896
1056_s_at	3.59793925188760	4.00105475612841	3.7263834250878	4.13240068003006	4.12066381401626	4.06108660807353	3.31511372190303	3.73946312482728	3.91689425132571	3.45861682403746	3.52509390448213	3.93003823186401
1057_at	4.74330861047699	5.10523977875308	5.18930661173178	5.14564864047235	5.14029458561622	5.02093136475537	4.50768182289899	5.03708284915655	4.90375714283292	4.79079602359421	4.95998422147478	4.97372454664049
1058_at	4.66894418223083	4.58324389315404	4.45883030483025	4.58061295789969	4.32851451347472	4.74369248559174	4.54862481877296	4.52738681007975	4.48990117101157	4.48080788521021	4.3960974751105	4.64276593943776
1059_at	3.13800763401472	4.43733302183862	4.24432183234568	4.80348982869435	3.7992214664522	4.1740549906202	3.34651014035957	3.87942526847104	3.81729114118289	3.49868423297042	4.07863211255126	4.01154303121502
105_at	2.99207758554467	3.5841906607569	3.53101009347156	3.67069187016663	3.6264656594701	3.53823385152573	3.20743474443641	3.30240032860257	3.37390082280888	3.20079950854712	3.24359719790444	3.38565611824044
1060_g_at	5.62654706595548	6.87835060381659	6.71019494131847	6.73506240814673	6.90389787584258	6.64188553555593	5.73512084774748	6.18826134538494	6.29874192369226	5.7874702079155	6.47622774822877	6.34592046769626
1061_at	5.5565860849775	6.4406626458823	6.21758007879447	6.31817993308917	6.08598327656557	6.24440844117537	5.57009964648462	6.00757703379693	5.88538044075149	5.5533429291738	5.77466124083438	5.96994742479704
1062_g_at	5.21011646434273	4.71881545803588	4.75425113877744	4.82153366568588	4.45797150431801	4.50716912405175	4.5104234448044	4.48885685668312	4.38137548415574	4.66786250506981	4.43007625503427	4.57585753469611
1063_s_at	6.17065171741071	6.54471217268023	6.33515689010512	6.4615778185869	6.27549661928838	6.55725916782415	5.81652192370708	6.28045403470458	6.16225356566939	5.80963898753597	6.08328304075469	6.41206583483458
1064_at	4.40492983116324	3.01915977870896	3.61405612568437	3.31235444848452	3.6156633421051	3.46140083462319	5.1260399758356	4.04718527349422	3.56020647997256	4.44153026241286	4.16941810472318	3.65930977164599
1065_at	4.14391140477131	4.97526133316164	4.63399401955408	4.65045837705774	4.97563382618287	4.88617541849245	3.99937753092140	4.6015619888338	4.61800564843639	4.18927469743147	4.93858842716439	4.63969844358799
1066_at	4.66708630887811	5.08562448605486	4.88455677846666	4.85136305633579	4.93338517511502	5.20446217041229	4.93131073255583	4.97032626136312	5.0245610134527	4.84961308285185	5.01596053678552	4.92117373359101
1067_at	4.11020144431641	3.98106178508897	3.87708485931969	3.98734272665691	3.7161055514868	3.87468412315699	3.59049468659638	3.6302207115568	3.81502790032947	3.54987949731747	3.73358415370815	3.70271234482786
1068_g_at	7.32398432200358	8.01004213461142	7.90124378079805	7.76542116812709	7.7889846744827	8.0214315495453	7.35913514198848	7.85797528345123	7.87371638025227	7.40250772233286	7.71563334566164	7.73344003447002
1069_at	5.41587002157259	4.36110795614927	4.14189028481878	4.24239494873736	4.26047577775667	4.03304581601440	6.74521970063593	4.10731768233775	4.8691372546271	5.03963551767427	4.64100214938198	4.32449655647469
106_at	5.35729627672194	5.16159110202705	5.19216222637885	5.26607271652544	4.91095488324109	5.15338717917636	4.70927824070471	4.81710244287421	5.08996060162067	4.82215616760846	4.98209314998429	5.10221925988314
1070_at	3.82027414315702	4.0318910552307	4.06465200236166	3.97011014036137	3.96966726807961	3.69882949452690	3.78387743320231	3.77203632507901	3.76216890785352	3.67015739021999	4.13248008840971	3.70482258149711
1071_at	6.55082411557525	6.88303224790756	6.73331680432588	6.83792909201793	6.64840125889878	6.70607162298046	6.8627363753898	6.63763148049541	6.68922275183788	6.35433810711589	6.69980904713327	6.70815125174454
1072_g_at	6.62612092496201	6.93252068289538	6.9189710923082	6.96742579557687	6.66933870327573	6.90092805755352	7.0438794771461	6.81711945333415	6.84776266516566	6.44134353278716	6.6149816857537	6.64099908193156
