V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	class
2117	1890	710	3221	1703	1180	1864	868	3535	4290	2030	1962	857	11370	16077	5807	17782	995	885	6895	2111	21210	2583	3248	12454	5765	1954	333	722	4531	1112	14552	6944	4031	967	1279	3987	2557	1020	2730	8444	4144	31086	2170	7546	14476	5565	9144	2018	19748	B
1554	2181	646	5364	2396	1335	965	767	3145	4051	1886	1218	272	10577	11421	7133	17633	793	1146	8140	2651	17558	3363	3042	13477	3133	2056	857	402	3426	1275	15979	5557	4058	920	1275	2825	1425	1205	1383	4261	5380	25421	1909	9491	8955	11689	4750	2291	13356	B
977	2529	899	2837	2610	2196	618	708	4057	5084	1977	2349	463	13723	10273	6423	17384	1108	1530	7649	2908	18530	5697	2903	14846	3919	3857	1785	667	2889	1171	16141	5972	3835	1299	1735	7373	2717	2504	593	3425	7330	29543	1718	10367	8443	10308	7453	2796	13769	B
2115	2189	641	6067	1969	1110	1458	598	3002	3456	1376	971	181	8535	8264	5912	20355	814	443	6334	2488	20530	2765	2977	14222	3143	1189	430	226	2434	1211	16598	5939	3147	702	1355	5648	1945	1113	562	3810	7604	21000	1831	9862	9541	9427	7592	1829	10249	B
3531	2286	1049	3103	1812	834	1509	643	757	3232	1304	887	335	11070	11355	3774	10640	852	256	3969	1629	16998	1906	4906	19363	2170	1346	394	449	2443	966	18074	5656	3151	818	1136	7819	1520	721	1232	6152	4708	40060	1056	5885	15739	4741	13213	2497	21432	B
1043	1585	353	1695	1740	1465	1233	459	2242	2786	1733	819	500	6001	5868	6352	25787	560	686	10994	2062	14925	1369	2592	10557	4134	1760	436	504	3328	859	13914	5454	3052	671	1345	2162	1402	622	1133	1277	1762	25347	1555	7798	11348	4101	5705	472	12115	B
1219	1467	894	4765	1416	1810	1899	610	6595	6259	4231	2433	772	10173	17328	10209	11898	793	2620	5434	1801	17084	2681	2667	20407	5435	2088	864	506	5589	1155	16150	6550	5117	1097	1148	5028	4304	1949	3130	6216	5863	30797	2608	14517	15086	7747	13883	1591	22819	B
937	2474	992	9000	2702	1678	673	1116	6641	6167	3327	2683	722	13382	14960	7857	16658	902	1721	6947	2463	19599	4386	2865	18153	5562	4046	1797	613	6117	1368	16449	5794	4212	1360	1798	7081	3016	2385	1980	5831	10739	23338	1291	12831	14741	10614	8568	2352	17537	B
1599	950	758	10228	1561	1661	788	686	2125	5794	1260	1327	759	11270	6919	8134	17587	820	314	5749	1744	19112	4146	2850	13574	3894	2634	1125	455	3248	1271	18317	4226	2207	806	834	4960	1829	1615	573	5618	5100	14991	1969	9547	4700	6738	5256	2576	15788	B
3421	1632	870	8464	3057	3860	1506	1087	6513	5139	3064	2976	1204	12818	19825	13954	15983	1249	1183	5898	1886	22677	10502	3477	11827	4431	1827	1101	664	10534	2027	22322	9011	4477	1150	833	3236	4788	1567	862	3712	1127	27223	1697	17789	10971	4369	3572	1874	11024	B
1371	1524	371	2091	1555	1856	594	988	1169	2688	2090	1423	362	8316	15160	9904	20256	827	1434	2881	1803	22483	4332	2480	9209	3249	2650	775	454	4198	992	10127	3245	2680	729	712	859	77	1281	5046	1616	3663	32648	4297	5040	10694	3990	952	2150	24729	B
1321	1254	722	2274	1234	1462	1067	348	2695	3768	994	1105	278	6452	6596	5092	18935	667	599	3888	1305	12044	2584	2580	18884	2828	1501	773	379	3414	468	13495	2799	2338	749	977	5501	3110	1129	2548	4694	3712	31039	2638	11238	10250	4555	10646	1339	20761	B
1771	3293	1204	12213	3002	1086	1524	1055	3638	8686	2977	4031	1332	13603	13375	11905	15574	1077	503	10740	3403	15569	9567	5266	22282	7823	4753	2406	848	7513	1413	18322	8920	7098	1655	2179	16079	3258	3662	5050	11237	7821	19077	2984	12045	13479	12742	15351	4441	17103	B
753	3029	663	2973	1684	3640	1271	374	3644	5546	4788	694	915	7740	5543	1621	5325	919	3023	9068	797	868	3641	1800	22336	4771	4391	1645	815	7540	1334	10248	5539	3705	399	639	10631	2063	2959	705	9114	1006	2006	4587	1387	10409	11199	7292	1040	14610	B
